_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
140,2023,M4L,CAT,DOMESTIC SH
141,2023,M8W,DOG,PUG
142,2023,M4E,DOG,SCHNAUZER MIN
143,2024,M5R,DOG,POMERANIAN
144,2025,M8X,CAT,DOMESTIC SH
145,2023,M1R,DOG,BOSTON TERRIER
146,2023,M1C,DOG,WEST HIGHLAND
147,2023,M6R,CAT,DOMESTIC SH
148,2023,M8W,CAT,DOMESTIC MH
149,2023,M4C,CAT,BURMESE
150,2023,M1C,DOG,BICHON FRISE
151,2023,M5R,DOG,GOLDEN RETR
152,2023,M1W,DOG,SHIH TZU
153,2023,M8Z,CAT,DOMESTIC SH
154,2023,M5P,CAT,DOMESTIC SH
155,2023,M4R,CAT,DOMESTIC MH
156,2023,M9R,CAT,DOMESTIC SH
157,2024,M1V,DOG,MALTESE
158,2024,M4K,CAT,MAINE COON
159,2023,M4E,CAT,OCICAT
160,2023,M4L,DOG,GOLDEN RETR
161,2024,M6P,CAT,DOMESTIC SH
162,2024,M6S,CAT,DOMESTIC SH
163,2024,M2J,CAT,DOMESTIC MH
164,2024,M6C,CAT,DOMESTIC SH
165,2023,M4E,DOG,COCKER SPAN
166,2025,M4S,DOG,SHIH TZU
167,2023,M4J,CAT,DOMESTIC MH
168,2024,M1B,CAT,DOMESTIC MH
169,2023,M1N,CAT,DOMESTIC SH
170,2024,M6K,DOG,BICHON FRISE
171,2023,M1T,CAT,DOMESTIC SH
172,2025,M3A,DOG,LABRADOR RETR
173,2023,M6N,DOG,CHIHUAHUA SH
174,2023,M4V,CAT,DOMESTIC SH
175,2023,M4S,CAT,DOMESTIC SH
176,2023,M8V,CAT,DOMESTIC MH
177,2023,M4C,CAT,DOMESTIC SH
178,2025,M4B,CAT,DOMESTIC SH
179,2023,M1V,CAT,DOMESTIC SH
180,2023,M8V,CAT,DOMESTIC SH
181,2024,M4S,CAT,DOMESTIC SH
182,2023,M1E,CAT,DOMESTIC SH
183,2023,M4C,CAT,DOMESTIC SH
184,2023,M9C,CAT,DOMESTIC SH
185,2023,M9C,CAT,DOMESTIC SH
186,2024,M1S,CAT,DOMESTIC MH
187,2025,M8Z,CAT,DOMESTIC SH
188,2023,M6K,CAT,DOMESTIC SH
189,2023,M4V,DOG,YORKSHIRE TERR
190,2023,M2N,DOG,SHIH TZU
191,2024,M3K,DOG,COTON DE TULEAR
192,2023,M1H,CAT,DOMESTIC SH
193,2023,M4J,CAT,DOMESTIC SH
194,2023,M5M,CAT,DOMESTIC SH
195,2023,M1J,CAT,DOMESTIC SH
196,2023,M4Y,CAT,DOMESTIC SH
197,2025,M3M,CAT,DOMESTIC SH
198,2024,M1N,CAT,DOMESTIC SH
199,2023,M8V,CAT,DOMESTIC LH
200,2023,M1N,CAT,DOMESTIC SH
201,2023,M1W,CAT,DOMESTIC SH
202,2024,M1X,CAT,DOMESTIC SH
203,2023,M4C,CAT,DOMESTIC SH
204,2025,M8V,CAT,DOMESTIC SH
205,2025,M8V,CAT,DOMESTIC SH
206,2025,M8V,CAT,DOMESTIC SH
207,2025,M8V,CAT,DOMESTIC LH
208,2025,M8V,CAT,DOMESTIC SH
209,2024,M8V,CAT,DOMESTIC SH
210,2024,M3J,CAT,DOMESTIC SH
211,2023,M9N,DOG,PARSON RUSS TER
212,2024,M1G,CAT,DOMESTIC SH
213,2023,M4K,CAT,DOMESTIC MH
214,2023,M4G,CAT,DOMESTIC MH
215,2024,M4X,CAT,OCICAT
216,2023,M6S,CAT,DOMESTIC SH
217,2023,M1L,CAT,DOMESTIC SH
218,2023,M8W,DOG,POMERANIAN
219,2023,M3M,CAT,DOMESTIC SH
220,2023,M5M,CAT,DOMESTIC SH
221,2023,M2K,DOG,SHIH TZU
222,2023,M2H,CAT,DOMESTIC SH
223,2023,M4P,CAT,DOMESTIC LH
224,2023,M4N,CAT,DOMESTIC LH
225,2023,M4N,CAT,DOMESTIC LH
226,2023,M9B,CAT,DOMESTIC SH
227,2024,M2M,DOG,CAVALIER SPAN
228,2023,M2M,DOG,CAVALIER SPAN
229,2025,M5A,CAT,DOMESTIC SH
230,2023,M1T,CAT,DOMESTIC SH
231,2024,M1E,DOG,PARSON RUSS TER
232,2023,M1E,DOG,COCKER SPAN
233,2023,M8X,CAT,DOMESTIC SH
234,2023,M6R,DOG,BEAGLE
235,2024,M6G,CAT,DOMESTIC MH
236,2025,M1J,CAT,DOMESTIC SH
237,2023,M4M,CAT,DOMESTIC SH
238,2023,M9V,DOG,SHIH TZU
239,2025,M4M,CAT,DOMESTIC SH
240,2025,M6A,CAT,DOMESTIC SH
241,2023,M4S,DOG,POODLE MIN
242,2024,M3H,CAT,DOMESTIC SH
243,2025,M3H,CAT,DOMESTIC SH
244,2023,M1W,DOG,SHIH TZU
245,2024,M3A,CAT,DOMESTIC SH
246,2023,M9P,DOG,COTON DE TULEAR
247,2023,M9C,CAT,DOMESTIC SH
248,2023,M3C,DOG,CHIHUAHUA LH
249,2023,M1L,CAT,DOMESTIC SH
250,2023,M8Z,DOG,PARSON RUSS TER
251,2024,M4M,DOG,SHIH TZU
252,2024,M4L,CAT,DOMESTIC SH
253,2024,M4L,CAT,DOMESTIC MH
254,2024,M3H,CAT,DOMESTIC SH
255,2023,M1P,CAT,DOMESTIC SH
256,2023,M2J,CAT,DOMESTIC MH
257,2023,M1C,CAT,SIAMESE
258,2023,M9L,DOG,AUST SHEPHERD
259,2023,M4K,DOG,COCKER SPAN
260,2023,M3K,DOG,POMERANIAN
261,2023,M6M,DOG,YORKSHIRE TERR
262,2023,M1S,CAT,DOMESTIC LH
263,2023,M1S,DOG,WEST HIGHLAND
264,2024,M1W,CAT,DOMESTIC SH
265,2023,M1W,CAT,DOMESTIC MH
266,2025,M2J,CAT,MAINE COON
267,2023,M4C,CAT,DOMESTIC SH
268,2024,M4L,DOG,POODLE MIN
269,2025,M9A,CAT,DOMESTIC SH
270,2023,M6C,CAT,DOMESTIC SH
271,2025,M1K,CAT,DOMESTIC SH
272,2025,M8X,CAT,DOMESTIC SH
273,2023,M5M,CAT,DOMESTIC SH
274,2023,M5M,CAT,DOMESTIC SH
275,2023,M8V,CAT,DOMESTIC SH
276,2025,M4C,CAT,DOMESTIC LH
277,2023,M4C,CAT,DOMESTIC LH
278,2023,M2K,CAT,DOMESTIC SH
279,2023,M5N,CAT,DOMESTIC SH
280,2023,M8V,CAT,DOMESTIC SH
281,2024,M6N,CAT,DOMESTIC LH
282,2023,M4J,DOG,DACHSHUND
283,2024,M5A,DOG,HAVANESE
284,2024,M4C,CAT,DOMESTIC SH
285,2023,M6H,DOG,SHIH TZU
286,2023,M1E,CAT,SIAMESE
287,2023,M3B,DOG,MALTESE
288,2023,M3A,DOG,DACHSHUND
289,2023,M4M,CAT,DOMESTIC SH
290,2023,M8Y,DOG,BRITTANY
291,2023,M8Z,CAT,DOMESTIC MH
292,2025,M8Z,CAT,DOMESTIC MH
293,2025,M8Z,CAT,DOMESTIC MH
294,2024,M1C,DOG,MALTESE
295,2026,M4S,CAT,DOMESTIC LH
296,2023,M6K,CAT,DOMESTIC SH
297,2024,M6M,DOG,DACHSHUND
298,2023,M4B,CAT,DOMESTIC SH
299,2024,M4K,CAT,DOMESTIC SH
300,2024,M8X,CAT,DOMESTIC SH
301,2024,M5P,DOG,PARSON RUSS TER
302,2024,M6R,CAT,DOMESTIC SH
303,2023,M6N,DOG,SHIH TZU
304,2024,M4A,CAT,DOMESTIC LH
305,2023,M4M,DOG,MALTESE
