_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
59254,2023,M5R,DOG,BICHON FRISE
59255,2023,M6R,DOG,TERRIER
59256,2023,M4J,DOG,BOSTON TERRIER
59257,2025,M4J,DOG,BOSTON TERRIER
59258,2024,M5N,DOG,POODLE MIN
59259,2023,M5N,DOG,POODLE MIN
59260,2023,M5N,DOG,POODLE MIN
59261,2023,M6C,DOG,COCKER SPAN
59262,2024,M6C,DOG,COCKER SPAN
59263,2025,M4E,DOG,SCHNAUZER MIN
59264,2025,M6G,DOG,PORT WATER DOG
59265,2026,M6G,DOG,PORT WATER DOG
59266,2023,M6G,DOG,PORT WATER DOG
59267,2025,M6P,DOG,MALTESE
59268,2025,M6P,DOG,MALTESE
59269,2023,M6P,DOG,MALTESE
59270,2024,M6P,DOG,MALTESE
59271,2026,M8V,DOG,LABRADOR RETR
59272,2024,M8V,DOG,LABRADOR RETR
59273,2025,M8V,DOG,LABRADOR RETR
59274,2025,M2H,CAT,DOMESTIC SH
59275,2024,M2H,CAT,DOMESTIC SH
59276,2024,M6H,DOG,LABRADOR RETR
59277,2023,M6H,DOG,LABRADOR RETR
59278,2025,M6H,DOG,LABRADOR RETR
59279,2023,M1C,DOG,CHIHUAHUA SH
59280,2024,M1C,DOG,CHIHUAHUA SH
59281,2025,M1M,DOG,LABRADOR RETR
59282,2025,M1M,DOG,LABRADOR RETR
59283,2024,M1M,DOG,LABRADOR RETR
59284,2023,M8Y,DOG,FOX TERR WIRE
59285,2026,M8Y,DOG,FOX TERR WIRE
59286,2024,M8Y,DOG,FOX TERR WIRE
59287,2024,M9B,DOG,TIBETAN SPAN
59288,2025,M6H,CAT,DOMESTIC SH
59289,2023,M6H,CAT,DOMESTIC SH
59290,2025,M9W,DOG,GERM SHEPHERD
59291,2024,M9W,DOG,GERM SHEPHERD
59292,2023,M2R,CAT,BENGAL
59293,2025,M2R,CAT,BENGAL
59294,2025,M4E,DOG,AUST CATTLE DOG
59295,2023,M4E,DOG,AUST CATTLE DOG
59296,2023,M4C,DOG,CHIHUAHUA SH
59297,2024,M4C,DOG,CHIHUAHUA SH
59298,2023,M1R,DOG,DACHSHUND MIN
59299,2024,M1R,DOG,DACHSHUND MIN
59300,2026,M1R,DOG,DACHSHUND MIN
59301,2025,M9R,DOG,GERM SHEPHERD
59302,2024,M9R,DOG,GERM SHEPHERD
59303,2025,M9R,DOG,RAT TERRIER
59304,2024,M9R,DOG,RAT TERRIER
59305,2024,M1N,DOG,DOBERMAN PINSCH
59306,2023,M1N,DOG,DOBERMAN PINSCH
59307,2025,M1M,DOG,SHIBA INU
59308,2023,M4E,DOG,BORDER COLLIE
59309,2025,M4E,DOG,BORDER COLLIE
59310,2023,M4G,DOG,LABRADOR RETR
59311,2025,M4G,DOG,LABRADOR RETR
59312,2024,M1L,DOG,BELG MALINOIS
59313,2025,M1L,DOG,BELG MALINOIS
59314,2023,M2L,DOG,SIBERIAN HUSKY
59315,2024,M2L,DOG,SIBERIAN HUSKY
59316,2024,M6R,DOG,SPAN WATER DOG
59317,2023,M6R,DOG,SPAN WATER DOG
59318,2024,M2R,DOG,GERM SHEPHERD
59319,2023,M2R,DOG,GERM SHEPHERD
59320,2023,M4Y,DOG,DUTCH SHEPHERD
59321,2024,M4Y,DOG,DUTCH SHEPHERD
59322,2024,M4N,DOG,LABRADOR RETR
59323,2025,M4N,DOG,LABRADOR RETR
59324,2025,M4N,DOG,LABRADOR RETR
59325,2023,M2J,DOG,TERRIER
59326,2024,M2J,DOG,TERRIER
59327,2025,M2J,DOG,TERRIER
59328,2024,M6H,DOG,PAPILLON
59329,2023,M6H,DOG,PAPILLON
59330,2026,M6H,DOG,PAPILLON
59331,2023,M6H,DOG,AKITA
59332,2026,M6H,DOG,AKITA
59333,2025,M6H,DOG,AKITA
59334,2023,M9R,DOG,SHIH TZU
59335,2023,M4J,CAT,DOMESTIC SH
59336,2024,M4J,CAT,DOMESTIC SH
59337,2025,M4J,CAT,DOMESTIC SH
59338,2025,M4J,CAT,DOMESTIC SH
59339,2024,M4J,CAT,DOMESTIC SH
59340,2024,M9A,DOG,AMER BULLDOG
59341,2023,M1B,DOG,AMER BULLDOG
59342,2024,M1B,DOG,AMER BULLDOG
59343,2024,M5A,DOG,AMER BULLDOG
59344,2023,M5A,DOG,AMER BULLDOG
59345,2025,M9W,DOG,AMER BULLDOG
59346,2024,M9W,DOG,AMER BULLDOG
59347,2025,M3A,DOG,TR WALKER HOUND
59348,2023,M3A,DOG,TR WALKER HOUND
59349,2023,M4G,DOG,GOLDEN RETR
59350,2025,M4G,DOG,GOLDEN RETR
59351,2025,M3H,CAT,DOMESTIC SH
59352,2023,M3H,CAT,DOMESTIC SH
59353,2024,M4N,DOG,LABRADOR RETR
59354,2025,M4N,DOG,LABRADOR RETR
59355,2024,M4N,DOG,LABRADOR RETR
59356,2025,M4N,DOG,LABRADOR RETR
59357,2023,M1N,DOG,BEAGLE
59358,2026,M9A,DOG,MALTESE
59359,2025,M9A,DOG,MALTESE
59360,2024,M9A,DOG,MALTESE
59361,2023,M4E,DOG,WEST HIGHLAND
59362,2025,M4E,DOG,WEST HIGHLAND
59363,2024,M2R,DOG,BICHON FRISE
59364,2023,M2R,DOG,BICHON FRISE
59365,2025,M4L,DOG,POODLE STND
59366,2024,M4L,DOG,POODLE STND
59367,2024,M5M,DOG,TERRIER
59368,2023,M5M,DOG,TERRIER
59369,2025,M8V,DOG,GERM SHEPHERD
59370,2024,M8V,DOG,GERM SHEPHERD
59371,2024,M1C,DOG,GERM SHEPHERD
59372,2025,M1C,DOG,GERM SHEPHERD
59373,2024,M4L,DOG,GERM SHEPHERD
59374,2025,M4L,DOG,GERM SHEPHERD
59375,2025,M4L,DOG,GERM SHEPHERD
59376,2023,M4L,DOG,GERM SHEPHERD
59377,2023,M9R,DOG,SHIH TZU
59378,2025,M9R,DOG,SHIH TZU
59379,2024,M5V,DOG,PEKINGESE
59380,2023,M5V,DOG,PEKINGESE
59381,2023,M3C,DOG,SHIH TZU
59382,2025,M9M,DOG,COCKER SPAN
59383,2023,M9M,DOG,COCKER SPAN
59384,2024,M5R,DOG,BORDER TERRIER
59385,2026,M5R,DOG,BORDER TERRIER
59386,2023,M5R,DOG,BORDER TERRIER
59387,2025,M9B,DOG,GOLDEN RETR
59388,2024,M9B,DOG,GOLDEN RETR
59389,2025,M4J,DOG,GERM SHEPHERD
59390,2023,M4J,DOG,GERM SHEPHERD
59391,2023,M4J,DOG,BERNESE MTN DOG
59392,2023,M6J,DOG,POODLE STND
59393,2026,M6G,DOG,GOLDEN RETR
59394,2023,M6G,DOG,GOLDEN RETR
59395,2024,M6G,DOG,GOLDEN RETR
59396,2025,M6N,DOG,BOSTON TERRIER
59397,2024,M6N,DOG,BOSTON TERRIER
59398,2023,M4L,DOG,MASTIFF
59399,2025,M4L,DOG,MASTIFF
59400,2024,M4L,DOG,MASTIFF
59401,2024,M4K,DOG,FRENCH BULLDOG
59402,2026,M2L,DOG,LABRADOR RETR
59403,2023,M2L,DOG,LABRADOR RETR
59404,2023,M1P,DOG,DACHSHUND WH
59405,2025,M1P,DOG,DACHSHUND WH
59406,2025,M1P,DOG,DACHSHUND WH
59407,2024,M1P,DOG,DACHSHUND WH
59408,2024,M4E,DOG,LABRADOR RETR
59409,2023,M4E,DOG,LABRADOR RETR
59410,2025,M3J,DOG,SHIH TZU
59411,2024,M3J,DOG,SHIH TZU
59412,2023,M4N,DOG,PORT WATER DOG
59413,2025,M3L,DOG,SHIH TZU
59414,2024,M3L,DOG,SHIH TZU
59415,2024,M6P,DOG,COCKER SPAN
59416,2023,M6P,DOG,COCKER SPAN
59417,2024,M1C,DOG,WHIPPET
59418,2025,M1C,DOG,WHIPPET
59419,2024,M1C,DOG,WHIPPET
59420,2025,M9B,DOG,SHIH TZU
59421,2023,M9B,DOG,SHIH TZU
59422,2024,M1M,DOG,LABRADOR RETR
59423,2023,M1M,DOG,LABRADOR RETR
59424,2024,M4J,DOG,CHIHUAHUA SH
59425,2025,M4J,DOG,CHIHUAHUA SH
59426,2026,M4J,DOG,CHIHUAHUA SH
59427,2024,M8Z,DOG,SHIH TZU
59428,2026,M8Z,DOG,SHIH TZU
59429,2023,M8Z,DOG,SHIH TZU
59430,2025,M4M,DOG,GOLDEN RETR
59431,2023,M4M,DOG,GOLDEN RETR
59432,2024,M2J,DOG,MALTESE
59433,2023,M2J,DOG,MALTESE
59434,2024,M4Y,DOG,AMER ESKIMO
59435,2025,M4Y,DOG,AMER ESKIMO
59436,2025,M8Z,DOG,SHIBA INU
59437,2025,M8Z,DOG,SHIBA INU
59438,2023,M8Z,DOG,SHIBA INU
59439,2024,M6E,DOG,CHIHUAHUA SH
59440,2023,M6E,DOG,CHIHUAHUA SH
59441,2025,M5A,DOG,AUST SHEPHERD
59442,2023,M5A,DOG,AUST SHEPHERD
59443,2025,M4J,DOG,SAMOYED
59444,2023,M3C,DOG,POMERANIAN
59445,2026,M3C,DOG,POMERANIAN
59446,2025,M3C,DOG,POMERANIAN
59447,2023,M4E,DOG,SALUKI
59448,2023,M1N,DOG,BORDER COLLIE
59449,2024,M4M,DOG,GOLDEN RETR
59450,2025,M4L,DOG,COCKER SPAN
59451,2026,M4L,DOG,COCKER SPAN
59452,2023,M4L,DOG,COCKER SPAN
59453,2025,M4C,DOG,POODLE MIN
59454,2023,M4C,DOG,POODLE MIN
59455,2024,M4J,DOG,SAMOYED
59456,2023,M4J,DOG,SAMOYED
59457,2024,M4G,DOG,BORDER COLLIE
59458,2025,M4G,DOG,BORDER COLLIE
59459,2024,M4B,DOG,TERRIER
59460,2026,M4B,DOG,TERRIER
59461,2025,M4B,DOG,TERRIER
59462,2025,M1L,DOG,FRENCH BULLDOG
59463,2025,M1L,DOG,FRENCH BULLDOG
59464,2024,M1L,DOG,FRENCH BULLDOG
59465,2025,M4L,DOG,PARSON RUSS TER
59466,2024,M4L,DOG,PARSON RUSS TER
59467,2025,M4L,DOG,GOLDEN RETR
59468,2024,M4L,DOG,GOLDEN RETR
59469,2024,M1N,DOG,GOLDEN RETR
59470,2026,M1N,DOG,GOLDEN RETR
59471,2023,M1N,DOG,GOLDEN RETR
59472,2025,M4J,DOG,LABRADOR RETR
59473,2025,M4J,DOG,LABRADOR RETR
59474,2023,M4J,DOG,LABRADOR RETR
59475,2024,M4G,DOG,LABRADOR RETR
59476,2024,M4G,DOG,LABRADOR RETR
59477,2024,M6G,DOG,SHIH TZU
59478,2023,M6G,DOG,SHIH TZU
59479,2026,M4E,DOG,POODLE MIN
59480,2023,M4E,DOG,POODLE MIN
59481,2024,M4E,DOG,POODLE MIN
59482,2025,M9B,DOG,LABRADOR RETR
59483,2023,M9B,DOG,LABRADOR RETR
59484,2025,M4V,DOG,GOLDEN RETR
59485,2024,M4V,DOG,GOLDEN RETR
59486,2023,M4V,DOG,GOLDEN RETR
59487,2025,M6L,DOG,GERM SHEPHERD
59488,2024,M6L,DOG,GERM SHEPHERD
59489,2024,M8Z,DOG,BICHON FRISE
59490,2025,M8Z,DOG,BICHON FRISE
59491,2025,M8W,DOG,GERM SHEPHERD
59492,2024,M8W,DOG,GERM SHEPHERD
59493,2024,M5R,DOG,PORT WATER DOG
59494,2024,M4J,DOG,GOLDEN RETR
59495,2025,M4J,DOG,GOLDEN RETR
59496,2025,M4J,DOG,POODLE STND
59497,2024,M4J,DOG,POODLE STND
59498,2023,M4J,DOG,POODLE STND
59499,2024,M8Z,DOG,GOLDEN RETR
59500,2023,M8Z,DOG,GOLDEN RETR
59501,2023,M4C,DOG,TERRIER
59502,2026,M4E,DOG,VIZSLA
59503,2025,M4E,DOG,VIZSLA
59504,2024,M4E,DOG,VIZSLA
59505,2026,M4E,DOG,VIZSLA
59506,2025,M4E,DOG,VIZSLA
59507,2024,M4E,DOG,VIZSLA
59508,2025,M4Y,DOG,AUST CATTLE DOG
59509,2023,M4Y,DOG,AUST CATTLE DOG
59510,2024,M4R,DOG,PORT WATER DOG
59511,2025,M4R,DOG,PORT WATER DOG
59512,2025,M1N,DOG,SCOT TERRIER
59513,2024,M4E,DOG,BORDER COLLIE
59514,2023,M4E,DOG,BORDER COLLIE
59515,2026,M4E,DOG,SIBERIAN HUSKY
59516,2025,M4E,DOG,SIBERIAN HUSKY
59517,2025,M1S,DOG,CHIHUAHUA SH
59518,2024,M1S,DOG,CHIHUAHUA SH
59519,2026,M1S,DOG,CHIHUAHUA SH
59520,2025,M1S,DOG,CHIHUAHUA SH
59521,2024,M1S,DOG,CHIHUAHUA SH
59522,2025,M6H,DOG,LABRADOR RETR
59523,2025,M6H,DOG,LABRADOR RETR
59524,2025,M8Y,DOG,PARSON RUSS TER
59525,2024,M8Y,DOG,PARSON RUSS TER
59526,2023,M8Y,DOG,PARSON RUSS TER
59527,2024,M3B,DOG,SHIBA INU
59528,2026,M3B,DOG,SHIBA INU
59529,2023,M3B,DOG,SHIBA INU
59530,2023,M3B,CAT,BRITISH SH
59531,2024,M3B,CAT,BRITISH SH
59532,2025,M3B,CAT,BRITISH SH
59533,2023,M1L,CAT,DOMESTIC SH
59534,2025,M1L,CAT,DOMESTIC SH
59535,2024,M9B,DOG,PRESA CANARIO
59536,2023,M9B,DOG,PRESA CANARIO
59537,2024,M6N,DOG,LABRADOR RETR
59538,2025,M6N,DOG,LABRADOR RETR
59539,2023,M6N,DOG,LABRADOR RETR
59540,2023,M6N,DOG,LABRADOR RETR
59541,2023,M8V,DOG,HAVANESE
59542,2024,M8V,DOG,HAVANESE
59543,2023,M4L,DOG,BELG MALINOIS
59544,2025,M5R,DOG,POODLE STND
59545,2024,M9C,DOG,LABRADOR RETR
59546,2023,M9C,DOG,LABRADOR RETR
59547,2024,M6J,DOG,CHINESE CRESTED
59548,2025,M6J,DOG,CHINESE CRESTED
59549,2023,M6G,DOG,LABRADOR RETR
59550,2026,M6G,DOG,LABRADOR RETR
59551,2025,M6G,DOG,LABRADOR RETR
59552,2023,M9N,CAT,DOMESTIC SH
59553,2025,M9N,CAT,DOMESTIC SH
59554,2025,M4T,DOG,GOLDEN RETR
59555,2023,M4T,DOG,GOLDEN RETR
59556,2024,M4J,CAT,DOMESTIC SH
59557,2023,M4J,CAT,DOMESTIC SH
59558,2025,M6P,DOG,LABRADOR RETR
59559,2023,M6P,DOG,LABRADOR RETR
59560,2023,M5S,DOG,LAGOTTO ROMAGNO
59561,2023,M5S,DOG,LAGOTTO ROMAGNO
59562,2025,M5S,DOG,LAGOTTO ROMAGNO
59563,2025,M6R,CAT,DOMESTIC SH
59564,2023,M6R,CAT,DOMESTIC SH
59565,2023,M4Y,DOG,GOLDEN RETR
59566,2024,M4Y,DOG,GOLDEN RETR
59567,2024,M6H,CAT,DOMESTIC SH
59568,2024,M4B,DOG,LABRADOR RETR
59569,2025,M4B,DOG,LABRADOR RETR
59570,2024,M3J,DOG,MALTESE
59571,2024,M3J,DOG,MALTESE
59572,2024,M3C,DOG,SHIH TZU
59573,2025,M4P,DOG,FRENCH BULLDOG
59574,2024,M4P,DOG,FRENCH BULLDOG
59575,2025,M6E,DOG,POODLE MIN
59576,2024,M6E,DOG,POODLE MIN
59577,2025,M4J,DOG,GOLDEN RETR
59578,2023,M4J,DOG,GOLDEN RETR
59579,2024,M6H,DOG,BOSTON TERRIER
59580,2023,M6H,DOG,BOSTON TERRIER
59581,2026,M6S,CAT,DOMESTIC SH
59582,2025,M6S,CAT,DOMESTIC SH
59583,2025,M4E,DOG,SCHNAUZER STAND
59584,2023,M4E,DOG,SCHNAUZER STAND
59585,2023,M2N,DOG,SHIBA INU
59586,2025,M8V,DOG,YORKSHIRE TERR
59587,2024,M8V,DOG,YORKSHIRE TERR
59588,2023,M5P,DOG,SCHNAUZER MIN
59589,2024,M5P,DOG,SCHNAUZER MIN
59590,2025,M6S,DOG,LABRADOR RETR
59591,2023,M6S,DOG,LABRADOR RETR
59592,2025,M3M,DOG,GOLDEN RETR
59593,2023,M3M,DOG,GOLDEN RETR
59594,2025,M4K,CAT,DOMESTIC SH
59595,2023,M4K,CAT,DOMESTIC SH
59596,2025,M2P,DOG,SAMOYED
59597,2023,M2P,DOG,SAMOYED
59598,2024,M6E,CAT,DOMESTIC SH
59599,2024,M6G,DOG,LABRADOR RETR
59600,2024,M9N,CAT,DOMESTIC SH
59601,2024,M4T,DOG,GOLDEN RETR
59602,2023,M1E,DOG,CHIHUAHUA SH
59603,2025,M4J,CAT,DOMESTIC SH
59604,2024,M8X,DOG,PUG
59605,2024,M6P,DOG,LABRADOR RETR
59606,2024,M5S,DOG,LAGOTTO ROMAGNO
59607,2024,M6R,CAT,DOMESTIC SH
59608,2025,M4Y,DOG,GOLDEN RETR
59609,2025,M6H,CAT,DOMESTIC SH
59610,2024,M1N,CAT,DOMESTIC SH
59611,2023,M4B,DOG,LABRADOR RETR
59612,2023,M3J,DOG,MALTESE
59613,2023,M3J,DOG,MALTESE
59614,2023,M3C,DOG,SHIH TZU
59615,2024,M4P,DOG,AUST CATTLE DOG
59616,2023,M4P,DOG,FRENCH BULLDOG
59617,2023,M6E,DOG,POODLE MIN
59618,2024,M4J,DOG,GOLDEN RETR
59619,2025,M6H,DOG,BOSTON TERRIER
59620,2023,M6S,CAT,DOMESTIC SH
59621,2024,M4E,DOG,SCHNAUZER STAND
59622,2024,M2N,DOG,SHIBA INU
59623,2023,M8V,DOG,YORKSHIRE TERR
59624,2025,M5P,DOG,SCHNAUZER MIN
59625,2024,M6S,DOG,LABRADOR RETR
59626,2024,M3M,DOG,GOLDEN RETR
59627,2026,M5B,DOG,CHIHUAHUA SH
59628,2024,M4K,CAT,DOMESTIC SH
59629,2024,M2P,DOG,SAMOYED
59630,2025,M6E,CAT,DOMESTIC SH
59631,2024,M3K,DOG,CHIHUAHUA SH
59632,2023,M9C,DOG,NS DUCK TOLLING
59633,2025,M4L,DOG,GOLDEN RETR
59634,2024,M4V,DOG,PORT WATER DOG
59635,2025,M9A,DOG,POODLE MIN
59636,2023,M1S,CAT,DOMESTIC LH
59637,2023,M1S,CAT,DOMESTIC SH
59638,2023,M4C,DOG,GOLDEN RETR
59639,2024,M1L,DOG,BOXER
59640,2024,M9A,DOG,BELG MALINOIS
59641,2024,M6H,DOG,LABRADOR RETR
59642,2024,M4C,DOG,LABRADOR RETR
59643,2025,M5V,DOG,AUST SHEPHERD
59644,2023,M4C,DOG,HOUND
59645,2023,M2N,DOG,TERRIER
59646,2023,M5A,DOG,SIBERIAN HUSKY
59647,2024,M8Y,DOG,LABRADOR RETR
59648,2023,M8Y,CAT,BENGAL
59649,2023,M8Y,CAT,BENGAL
59650,2023,M1W,DOG,HAVANESE
59651,2023,M1T,DOG,BOXER
59652,2023,M1T,DOG,BOXER
59653,2024,M6A,DOG,YORKSHIRE TERR
59654,2024,M6A,DOG,YORKSHIRE TERR
59655,2023,M8V,DOG,POMERANIAN
59656,2023,M6E,CAT,DOMESTIC SH
59657,2023,M1M,DOG,GOLDEN RETR
59658,2025,M1E,DOG,GOLDEN RETR
59659,2025,M6S,DOG,BELG MALINOIS
59660,2024,M1P,CAT,DEVON REX
59661,2024,M5S,DOG,FRENCH BULLDOG
59662,2024,M4E,DOG,SCHNAUZER STAND
59663,2024,M6M,DOG,BOXER
59664,2026,M4T,CAT,DOMESTIC SH
59665,2023,M6J,DOG,JINDO
59666,2023,M4L,DOG,BOXER
59667,2023,M4L,DOG,GERM SHEPHERD
59668,2023,M4E,DOG,AMER BULLDOG
59669,2023,M5C,DOG,PARSON RUSS TER
59670,2025,M9P,CAT,DOMESTIC SH
59671,2023,M4J,DOG,BERNESE MTN DOG
59672,2023,M8W,CAT,DOMESTIC SH
59673,2023,M8W,CAT,DOMESTIC SH
59674,2025,M6S,DOG,POODLE MIN
59675,2023,M2H,DOG,AMER BULLDOG
59676,2023,M4P,DOG,PLOTT HOUND
59677,2024,M6G,DOG,ENG COCKER SPAN
59678,2024,M5A,DOG,CHIHUAHUA SH
59679,2023,M1P,DOG,TERRIER
59680,2024,M5M,DOG,GERM SHEPHERD
59681,2025,M4M,DOG,FRENCH BULLDOG
59682,2024,M1P,DOG,RAT TERRIER
59683,2023,M4G,DOG,SIBERIAN HUSKY
59684,2023,M4J,DOG,GERM SHEPHERD
59685,2025,M8W,DOG,TERRIER
59686,2023,M6P,DOG,LABRADOR RETR
59687,2023,M6J,DOG,AUST SHEPHERD
59688,2023,M4C,DOG,GOLDEN RETR
59689,2023,M4C,DOG,GERM SHEPHERD
59690,2023,M4C,DOG,HOUND
59691,2024,M6K,DOG,MALTESE
59692,2025,M6G,DOG,COCKER SPAN
59693,2023,M3H,DOG,COCKER SPAN
59694,2023,M5A,DOG,DACHSHUND MIN
59695,2023,M1R,DOG,BELG MALINOIS
59696,2024,M4X,DOG,PUG
59697,2023,M6K,CAT,DOMESTIC SH
59698,2023,M2H,DOG,BERNESE MTN DOG
59699,2023,M9C,DOG,MALTESE
59700,2023,M3M,CAT,DOMESTIC SH
59701,2025,M9W,DOG,GERM SH POINT
59702,2025,M9C,DOG,POODLE STND
59703,2024,M1T,CAT,DOMESTIC SH
59704,2023,M2H,DOG,SC WHEAT TERR
59705,2023,M6P,DOG,POODLE STND
59706,2025,M1J,DOG,CHIHUAHUA SH
59707,2025,M8V,DOG,FEIST
59708,2023,M5R,DOG,GOLDEN RETR
59709,2024,M4K,DOG,PARSON RUSS TER
59710,2025,M6N,DOG,SHIBA INU
59711,2025,M4G,CAT,DOMESTIC SH
59712,2023,M1E,CAT,DOMESTIC MH
59713,2023,M1E,CAT,DOMESTIC MH
59714,2023,M3M,CAT,DOMESTIC SH
59715,2024,M6E,CAT,DOMESTIC SH
59716,2024,M1J,CAT,SIAMESE
59717,2023,M2K,CAT,DOMESTIC LH
59718,2023,M4V,DOG,WELSH CORGI PEM
59719,2024,M1W,DOG,COCKER SPAN
59720,2023,M4A,CAT,DOMESTIC SH
59721,2023,M4A,CAT,DOMESTIC SH
59722,2025,M6E,DOG,ENG BULLDOG
59723,2024,M1T,DOG,POODLE MIN
59724,2023,M6J,DOG,PARSON RUSS TER
59725,2023,M2J,DOG,BICHON FRISE
59726,2025,M1W,DOG,COCKER SPAN
59727,2023,M5N,CAT,DOMESTIC MH
59728,2024,M3B,CAT,DOMESTIC SH
59729,2024,M9N,CAT,DOMESTIC SH
59730,2025,M6S,CAT,DOMESTIC SH
59731,2026,M9C,CAT,DOMESTIC SH
59732,2023,M1C,CAT,DOMESTIC SH
59733,2024,M6C,CAT,DOMESTIC SH
59734,2023,M6G,DOG,POODLE STND
59735,2024,M9N,DOG,POODLE STND
59736,2023,M5A,DOG,BEAGLE
59737,2023,M5A,DOG,BEAGLE
59738,2023,M6P,CAT,DOMESTIC SH
59739,2025,M2N,DOG,POODLE STND
59740,2024,M6H,DOG,GREAT PYRENEES
59741,2025,M4M,DOG,PARSON RUSS TER
59742,2023,M5M,DOG,TERRIER
59743,2025,M6P,DOG,LABRADOR RETR
59744,2024,M1M,DOG,GERM SHEPHERD
59745,2025,M4W,DOG,POODLE TOY
59746,2025,M3K,DOG,WEIMARANER
59747,2023,M1K,DOG,RHOD RIDGEBACK
59748,2025,M1P,DOG,SCHNAUZER MIN
59749,2025,M4B,DOG,BERNESE MTN DOG
59750,2024,M4A,DOG,CAVALIER SPAN
59751,2023,M2K,DOG,HAVANESE
59752,2025,M6H,DOG,BOSTON TERRIER
59753,2025,M4R,DOG,VIZSLA WH
59754,2023,M5M,DOG,POODLE MIN
59755,2023,M2N,DOG,MALTESE
59756,2024,M4L,CAT,DOMESTIC SH
59757,2024,M3N,CAT,DOMESTIC SH
59758,2025,M9A,DOG,AUST SHEPHERD
59759,2025,M1E,DOG,COLLIE SMOOTH
59760,2023,M3N,CAT,PERSIAN
59761,2023,M3N,CAT,SCOTTISH FOLD
59762,2023,M6L,DOG,SCHNAUZER MIN
59763,2025,M2N,DOG,COCKER SPAN
59764,2024,M4L,DOG,WHIPPET
59765,2024,M6N,DOG,MASTIFF
59766,2025,M2R,DOG,COTON DE TULEAR
59767,2023,M1L,DOG,SHIH TZU
59768,2024,M6P,DOG,LABRADOR RETR
59769,2024,M1E,DOG,PARSON RUSS TER
59770,2024,M4J,DOG,GERM SHEPHERD
59771,2023,M8W,DOG,YORKSHIRE TERR
59772,2023,M1K,DOG,SIBERIAN HUSKY
59773,2025,M2N,DOG,CHIHUAHUA SH
59774,2025,M2N,CAT,DOMESTIC MH
59775,2023,M5A,CAT,DOMESTIC LH
59776,2025,M3H,DOG,GOLDEN RETR
59777,2024,M6R,DOG,SHIH TZU
59778,2024,M2N,DOG,MALTESE
59779,2025,M5R,DOG,POODLE MIN
59780,2024,M9W,DOG,SHIH TZU
59781,2024,M4V,DOG,BEAGLE
59782,2025,M9C,DOG,SHIH TZU
59783,2025,M1X,DOG,SCHNAUZER MIN
59784,2025,M9A,DOG,MALTESE
59785,2023,M3C,CAT,DOMESTIC SH
59786,2024,M2P,CAT,DOMESTIC LH
59787,2024,M9A,DOG,BORDER COLLIE
59788,2023,M9A,DOG,BORDER COLLIE
59789,2025,M4W,DOG,AUST SHEPHERD
59790,2023,M1M,DOG,LABRADOR RETR
59791,2025,M4C,DOG,AUST CATTLE DOG
59792,2026,M6C,DOG,LABRADOR RETR
59793,2024,M4X,DOG,SHIH TZU
59794,2025,M4L,DOG,SIBERIAN HUSKY
59795,2024,M2J,DOG,LABRADOR RETR
59796,2023,M2J,DOG,POODLE MIN
59797,2023,M6C,CAT,DOMESTIC SH
59798,2024,M4C,DOG,LABRADOR RETR
59799,2024,M4G,DOG,DACHSHUND
59800,2024,M4T,DOG,LABRADOR RETR
59801,2024,M1E,DOG,CHIHUAHUA SH
59802,2024,M9V,DOG,GERM SHEPHERD
59803,2025,M1E,DOG,MASTIFF
59804,2024,M6N,DOG,MALTESE
59805,2025,M8V,DOG,LABRADOR RETR
59806,2023,M6G,DOG,AMER BULLDOG
59807,2023,M1E,DOG,POODLE MIN
59808,2024,M2K,DOG,HAVANESE
59809,2023,M6N,DOG,SCHNAUZER STAND
59810,2024,M5S,DOG,NORFOLK TERRIER
59811,2025,M4G,DOG,POODLE MIN
59812,2025,M5M,DOG,GOLDEN RETR
59813,2024,M2J,DOG,CHIHUAHUA SH
59814,2023,M8V,CAT,DOMESTIC SH
59815,2024,M6G,DOG,GOLDEN RETR
59816,2023,M1K,CAT,DOMESTIC SH
59817,2023,M1K,CAT,DOMESTIC SH
59818,2023,M1K,CAT,DOMESTIC SH
59819,2024,M9A,DOG,LABRADOR RETR
59820,2025,M6G,DOG,LABRADOR RETR
59821,2025,M6J,DOG,COCKER SPAN
59822,2025,M4N,DOG,LABRADOR RETR
59823,2023,M6G,DOG,BLACK MOUTH CUR
59824,2025,M8Z,DOG,LABRADOR RETR
59825,2025,M9W,DOG,BERNESE MTN DOG
59826,2023,M3A,DOG,SAMOYED
59827,2023,M6E,DOG,SHIH TZU
59828,2024,M6E,DOG,MALTESE
59829,2024,M6H,CAT,DOMESTIC SH
59830,2023,M2P,CAT,DOMESTIC MH
59831,2024,M9C,CAT,DOMESTIC SH
59832,2023,M8X,DOG,GOLDEN RETR
59833,2025,M6P,DOG,AUST CATTLE DOG
59834,2025,M5B,DOG,GREAT PYRENEES
59835,2025,M6J,DOG,PARSON RUSS TER
59836,2023,M8W,CAT,DOMESTIC SH
59837,2024,M4C,DOG,COCKER SPAN
59838,2023,M1K,DOG,CANE CORSO
59839,2023,M1K,DOG,GERM SHEPHERD
59840,2026,M5M,DOG,MALTESE
59841,2025,M5V,DOG,GERM SHEPHERD
59842,2025,M4T,DOG,AIREDALE TERR
59843,2024,M4M,DOG,AUST SHEPHERD
59844,2025,M1K,DOG,COCKER SPAN
